directory,ci_exists,result,exit_code,pytest_seconds,wall_seconds
01__binned_copy,True,PASSED,0,5.88,8.353
02__binned_copy_wgrad,False,SKIPPED,,,
03__silu_forward_backward_diff,True,PASSED,0,8.89,11.518
04__c_conv_varlen,False,SKIPPED,,,
05__fused_ce_forward_backward_diff,True,PASSED,0,4.76,7.565
06_ttest_causal_conv1d_update_state,False,SKIPPED,,,
07_diffusion_attention,False,SKIPPED,,,
08_chunk_fwd_o,True,PASSED,0,5.04,8.815
09_chunk_bwd_dv_local,True,PASSED,0,5.21,8.973
10_test_topp_filter,True,PASSED,0,4.52,7.569
11_test_reject_sampling,True,PASSED,0,4.52,6.573
12_test_magic_reject_sampling,True,PASSED,0,4.65,7.788
13_test_store_lowrank,True,PASSED,0,4.49,7.616
14_rope_kernel,False,SKIPPED,,,
15__padded_copy,True,PASSED,0,4.83,8.362
16__padded_copy_wgrad,False,SKIPPED,,,
17_test_gelu,True,PASSED,0,4.31,6.3
18_test_silu,True,PASSED,0,4.26,7.595
19_test_swiglu,True,PASSED,0,4.46,6.395
20_test_paged_decode_gqa,True,PASSED,0,4.55,7.426
21_softcap_fwd_kernel,True,PASSED,0,4.67,6.438
22_fused_matmul_bwd_w_kernel,True,PASSED,0,4.4,7.366
23_test_store_paged_kv,True,PASSED,0,5.34,8.613
24_solve_tril,True,PASSED,0,17.4,20.055
25_chunk_gated_delta_rule_bwd_dhu,True,PASSED,0,4.76,7.588
26_chunk_bwd_dqkwg,True,PASSED,0,5.56,7.98
27_softcap_bwd_kernel,True,PASSED,0,9.35,12.534
28__apply_penalties_temp,True,PASSED,0,5.6,8.851
29_causal_conv1d_bwd_kernel,False,SKIPPED,,,
30_fused_sigmoid_gating_delta_rule_update_kernel,True,PASSED,0,5.75,8.573
31_prepare_wy_repr_bwd,True,FAILED,1,6.11,9.93
32_layer_norm_gated_fwd,True,FAILED,1,4.62,7.709
33_test_residual_add_rmsnorm,True,FAILED,1,5.59,8.935
34_test_residual_add_layernorm,True,FAILED,1,5.64,8.775
35__residual_add_rms_norm,False,SKIPPED,,,
36_chunk_gated_delta_rule_fwd_h,True,FAILED,1,8.6,11.749
37_fused_matmul_bwd_b_kernel,True,FAILED,1,4.28,7.623
38_fused_matmul_bwd_x_kernel,True,FAILED,1,4.84,7.593
39_FA_FP8,True,FAILED,1,3.84,10.805
40_chunk_local_cumsum,True,FAILED,1,4.51,7.322
41_chunk_scaled_dot_kkt_fwd_no_gate,True,FAILED,1,4.49,7.432
42_chunk_scaled_dot_kkt_fwd_gated,True,PASSED,0,4.86,7.769
43_layer_norm_gated_bwd,True,PASSED,0,5.2,7.596
44_sdpa,True,PASSED,0,5.5,7.826
45__rmsnorm_forward_backward_diff,True,PASSED,0,6.66,9.588
46_test_rmsnorm,True,PASSED,0,5.45,8.586
47_test_layernorm,True,PASSED,0,5.65,8.441
48_test_pos_emb,True,PASSED,0,5.76,8.536
49__topp_sampling,True,PASSED,0,13.5,16.493
50_recompute_w_u_fwd,True,PASSED,0,26.53,29.612
